track_name,isrc,language,publishing_company,arranger,producer,interpreter,date,duration,apple_itunes,k,l,m,n,Juke,microsoft,musicload,napster,qobuz,spotify,tidal,vimeo,youtube,amazon_books,apple_books,google_play_books,music_notes,notafina,note_download,sheet_music_plus,music_image
So schwarz wie Kaffee (Georgia) [Os escravos de jo],,,,,,,2017-11-30,,,,,,,,,,,,,,,,,,,,,,,
Wo ist mein Weg zu Ende? [Chimera],,,,,,,2017-12-01,,,,,,,,,,,,,,,,,,,,,,,
Something My Heart Might Say,,,,,,,2017-12-02,,,,,,,,,,,,,,,,,,,,,,,
Just in Time,,,,,,,2017-12-03,,,,,,,,,,,,,,,,,,,,,,,
I'll Never Get Myself Another Face [Ich kann nun mal aus meiner Haut nicht raus],,,,,,,2017-12-04,,,,,,,,,,,,,,,,,,,,,,,
You Must Be Crazy,,,,,,,2017-12-05,,,,,,,,,,,,,,,,,,,,,,,
How High the Moon,,,,,,,2017-12-06,,,,,,,,,,,,,,,,,,,,,,,
Teach Me Tonight,,,,,,,2017-12-07,,,,,,,,,,,,,,,,,,,,,,,
Nice Work If You Can Get It,,,,,,,2017-12-08,,,,,,,,,,,,,,,,,,,,,,,
Smile,,,,,,,2017-12-09,,,,,,,,,,,,,,,,,,,,,,,
Between the Devil and the Deep Blue Sea,,,,,,,2017-12-10,,,,,,,,,,,,,,,,,,,,,,,
Sweet Georgie Fame,,,,,,,2017-12-11,,,,,,,,,,,,,,,,,,,,,,,
Daydream,,,,,,,2017-12-12,,,,,,,,,,,,,,,,,,,,,,,
The Nearness of You / You Are the Sunshine of My Life,,,,,,,2017-12-13,,,,,,,,,,,,,,,,,,,,,,,
A Fine Romance,,,,,,,2017-12-14,,,,,,,,,,,,,,,,,,,,,,,
If You Should Ever Leave Me [Wenn du mich nicht mehr lieb hast],,,,,,,2017-12-15,,,,,,,,,,,,,,,,,,,,,,,
Oho-Aha,,,,,,,2017-12-16,,,,,,,,,,,,,,,,,,,,,,,
Diamonds Are a Girl's Best Friend,,,,,,,2017-12-17,,,,,,,,,,,,,,,,,,,,,,,
Strangers in the Night / L-O-V-E,,,,,,,2017-12-18,,,,,,,,,,,,,,,,,,,,,,,
Isn't It Romantic?,,,,,,,2017-12-19,,,,,,,,,,,,,,,,,,,,,,,
Aquarela do Brasil,,,,,,,2017-12-20,,,,,,,,,,,,,,,,,,,,,,,
Mir schenken dä Ahl e paar Blömcher,,,,,,,2017-12-21,,,,,,,,,,,,,,,,,,,,,,,
Jede Jeck es anders,,,,,,,2017-12-22,,,,,,,,,,,,,,,,,,,,,,,
Träume nach dem ersten Kuss,,,,,,,2017-12-23,,,,,,,,,,,,,,,,,,,,,,,
"Du bist niemand, wenn dich niemand liebt",,,,,,,2017-12-24,,,,,,,,,,,,,,,,,,,,,,,
"Das ist zu schön, um wahr zu sein",,,,,,,2017-12-25,,,,,,,,,,,,,,,,,,,,,,,
Heisse Küsse im Dezember,,,,,,,2017-12-26,,,,,,,,,,,,,,,,,,,,,,,
Christina,,,,,,,2017-12-27,,,,,,,,,,,,,,,,,,,,,,,
My Name Is Joe [Hrozinky],,,,,,,2017-12-28,,,,,,,,,,,,,,,,,,,,,,,
Glück ist himmelblau [Lille Sommerfugl],,,,,,,2017-12-29,,,,,,,,,,,,,,,,,,,,,,,
Niemand [Ingen],,,,,,,2017-12-30,,,,,,,,,,,,,,,,,,,,,,,
Monja [English Version],,,,,,,2017-12-31,,,,,,,,,,,,,,,,,,,,,,,
Baby Discothek [English Version],,,,,,,2018-01-01,,,,,,,,,,,,,,,,,,,,,,,
Home On the Range,,,,,,,2018-01-02,,,,,,,,,,,,,,,,,,,,,,,
Auld Lang Syne,,,,,,,2018-01-03,,,,,,,,,,,,,,,,,,,,,,,
Londonderry Air,,,,,,,2018-01-04,,,,,,,,,,,,,,,,,,,,,,,
Turkey in the Straw,,,,,,,2018-01-05,,,,,,,,,,,,,,,,,,,,,,,
Last Rose of Summer,,,,,,,2018-01-06,,,,,,,,,,,,,,,,,,,,,,,
Annie Laurie,,,,,,,2018-01-07,,,,,,,,,,,,,,,,,,,,,,,
Melodie in F,,,,,,,2018-01-08,,,,,,,,,,,,,,,,,,,,,,,
Serenade,,,,,,,2018-01-09,,,,,,,,,,,,,,,,,,,,,,,
Chant sans paroles,,,,,,,2018-01-10,,,,,,,,,,,,,,,,,,,,,,,
Ständchen,,,,,,,2018-01-11,,,,,,,,,,,,,,,,,,,,,,,
Bianca: Kleine Besetzung,,,,,,,2018-01-12,,,,,,,,,,,,,,,,,,,,,,,http://goodmusic.online/wp-content/uploads/2017/05/00423027-00-510cv.jpg
Bianca: Klavierstimme,,,,,,,2018-01-13,,,,,,,,,,,,,,,,,,,,,,,http://goodmusic.online/wp-content/uploads/2017/05/00423027-00-520cv.jpg
Bossa Nova: Kleine Besetzung,,,,,,,2018-01-14,,,,,,,,,,,,,,,,,,,,,,,http://goodmusic.online/wp-content/uploads/2017/05/06144849-00-510cv.jpg
Bossa Nova: Klavierstimme,,,,,,,2018-01-15,,,,,,,,,,,,,,,,,,,,,,,http://goodmusic.online/wp-content/uploads/2017/05/06144849-00-520cv.jpg
"Bye, Bye, My Love: Kleine Besetzung",,,,,,,2018-01-16,,,,,,,,,,,,,,,,,,,,,,,http://goodmusic.online/wp-content/uploads/2017/05/01850239-00-510cv.jpg
"Bye, Bye, My Love: Klavierstimme",,,,,,,2018-01-17,,,,,,,,,,,,,,,,,,,,,,,http://goodmusic.online/wp-content/uploads/2017/05/01850239-00-521cv.jpg
Dann kamst du: Kleine Besetzung,,,,,,,2018-01-18,,,,,,,,,,,,,,,,,,,,,,,http://goodmusic.online/wp-content/uploads/2017/05/00774211-00-510cv.jpg
